Epoch [4/200], Step [350/600], d_loss: 0.3618, g_loss: 1.5412, D(x): 0.70, D(G(z)): 0.26
Epoch [4/200], Step [400/600], d_loss: 0.4262, g_loss: 1.4436, D(x): 0.68, D(G(z)): 0.31
Epoch [4/200], Step [450/600], d_loss: 0.3474, g_loss: 1.4812, D(x): 0.74, D(G(z)): 0.28
Epoch [4/200], Step [500/600], d_loss: 0.3540, g_loss: 1.5597, D(x): 0.69, D(G(z)): 0.24
Epoch [4/200], Step [550/600], d_loss: 0.3187, g_loss: 1.4071, D(x): 0.74, D(G(z)): 0.25
Epoch [4/200], Step [600/600], d_loss: 0.3793, g_loss: 1.2880, D(x): 0.74, D(G(z)): 0.33
Epoch [5/200], Step [50/600], d_loss: 0.3643, g_loss: 1.3933, D(x): 0.70, D(G(z)): 0.26
Epoch [5/200], Step [100/600], d_loss: 0.3780, g_loss: 1.3804, D(x): 0.71, D(G(z)): 0.30
Epoch [5/200], Step [150/600], d_loss: 0.3966, g_loss: 1.6197, D(x): 0.66, D(G(z)): 0.26
Epoch [5/200], Step [200/600], d_loss: 0.3231, g_loss: 1.4212, D(x): 0.72, D(G(z)): 0.24
Epoch [5/200], Step [250/600], d_loss: 0.3891, g_loss: 1.5619, D(x): 0.68, D(G(z)): 0.26
Epoch [5/200], Step [300/600], d_loss: 0.3237, g_loss: 1.7913, D(x): 0.74, D(G(z)): 0.26
Epoch [5/200], Step [350/600], d_loss: 0.3791, g_loss: 1.4337, D(x): 0.72, D(G(z)): 0.30
Epoch [5/200], Step [400/600], d_loss: 0.3614, g_loss: 1.3787, D(x): 0.74, D(G(z)): 0.29
Epoch [5/200], Step [450/600], d_loss: 0.3549, g_loss: 1.4033, D(x): 0.73, D(G(z)): 0.27
Epoch [5/200], Step [500/600], d_loss: 0.3441, g_loss: 1.4391, D(x): 0.73, D(G(z)): 0.27
Epoch [5/200], Step [550/600], d_loss: 0.3406, g_loss: 1.5216, D(x): 0.73, D(G(z)): 0.27
